id,title,description,availability,condition,price,link,image_link,brand,inventory,quantity_to_sell_on_facebook
17786909119811s5x,Amplificador Imagen Celular,Importado masivamente,in stock,new,10000.00 ARS,https://gigacomputers.com.ar/index.html?id=17786909119811s5x,https://gigacomputers.com.ar/assets/products/prod_17786909119811s5x.jpg,GIGA Computers,99,99
1778690911981x6uc,Anillo Celular,Importado masivamente,in stock,new,4000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778690911981x6uc,https://gigacomputers.com.ar/assets/products/prod_1778690911981x6uc.jpg,GIGA Computers,99,99
1778690911982uwkr,Apoya celular,Importado masivamente,in stock,new,5000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778690911982uwkr,https://gigacomputers.com.ar/assets/products/prod_1778690911982uwkr.jpg,GIGA Computers,99,99
1778690911982wt1f,Aro Selfie Chico,Importado masivamente,in stock,new,5000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778690911982wt1f,https://gigacomputers.com.ar/assets/products/prod_1778690911982wt1f.jpg,GIGA Computers,99,99
1778690911982jzpn,Aro Selfie RGB,Importado masivamente,in stock,new,17000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778690911982jzpn,https://gigacomputers.com.ar/assets/products/prod_1778690911982jzpn.jpg,GIGA Computers,99,99
1778690911982z56u,Auricular Under Armour,Importado masivamente,in stock,new,9000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778690911982z56u,https://gigacomputers.com.ar/assets/products/prod_1778690911982z56u.jpg,GIGA Computers,99,99
1778690911982dp5k,Balanza Chica,Importado masivamente,in stock,new,9500.00 ARS,https://gigacomputers.com.ar/index.html?id=1778690911982dp5k,https://gigacomputers.com.ar/assets/products/prod_1778690911982dp5k.jpg,GIGA Computers,99,99
1778690911982lhh3,Balanza Equipaje,Importado masivamente,in stock,new,9000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778690911982lhh3,https://gigacomputers.com.ar/assets/products/prod_1778690911982lhh3.jpg,GIGA Computers,99,99
1778690911982oudi,Balanza Grande,Importado masivamente,in stock,new,13500.00 ARS,https://gigacomputers.com.ar/index.html?id=1778690911982oudi,https://gigacomputers.com.ar/assets/products/prod_1778690911982oudi.jpg,GIGA Computers,99,99
17786909119835m2b,Baston Selfie,Importado masivamente,in stock,new,7500.00 ARS,https://gigacomputers.com.ar/index.html?id=17786909119835m2b,https://gigacomputers.com.ar/assets/products/prod_17786909119835m2b.jpg,GIGA Computers,99,99
17786909119838blf,Baston Selfie con Bluetooth,Importado masivamente,in stock,new,9500.00 ARS,https://gigacomputers.com.ar/index.html?id=17786909119838blf,https://gigacomputers.com.ar/assets/products/prod_17786909119838blf.jpg,GIGA Computers,99,99
17786909119832vi9,Bluetooth 5.0,Importado masivamente,in stock,new,6000.00 ARS,https://gigacomputers.com.ar/index.html?id=17786909119832vi9,https://gigacomputers.com.ar/assets/products/prod_17786909119832vi9.jpg,GIGA Computers,99,99
1778690911983m3tn,Bluetooth auto,Importado masivamente,in stock,new,6000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778690911983m3tn,https://gigacomputers.com.ar/assets/products/prod_1778690911983m3tn.jpg,GIGA Computers,99,99
1778690911983vcb8,Brazalete Celular Running,Importado masivamente,in stock,new,5000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778690911983vcb8,https://gigacomputers.com.ar/assets/products/prod_1778690911983vcb8.jpg,GIGA Computers,99,99
1778690911983fjgw,Cable Usb Reforzado multiple,Importado masivamente,in stock,new,7000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778690911983fjgw,https://gigacomputers.com.ar/assets/products/prod_1778690911983fjgw.jpg,GIGA Computers,99,99
1778690911983phqg,Caddy Notebook,Importado masivamente,in stock,new,10500.00 ARS,https://gigacomputers.com.ar/index.html?id=1778690911983phqg,https://gigacomputers.com.ar/assets/products/prod_1778690911983phqg.jpg,GIGA Computers,99,99
1778690911983duq2,Caja Sata 2.5 2.0,Importado masivamente,in stock,new,13500.00 ARS,https://gigacomputers.com.ar/index.html?id=1778690911983duq2,https://gigacomputers.com.ar/assets/products/prod_1778690911983duq2.jpg,GIGA Computers,99,99
1778690911983gcco,Caja Sata 3.0,Importado masivamente,in stock,new,18000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778690911983gcco,https://gigacomputers.com.ar/assets/products/prod_1778690911983gcco.jpg,GIGA Computers,99,99
17786909119839rns,Candado Notebook,Importado masivamente,in stock,new,12000.00 ARS,https://gigacomputers.com.ar/index.html?id=17786909119839rns,https://gigacomputers.com.ar/assets/products/prod_17786909119839rns.jpg,GIGA Computers,99,99
1778690911983pu0w,Cargador Motorola 168W,Importado masivamente,in stock,new,29500.00 ARS,https://gigacomputers.com.ar/index.html?id=1778690911983pu0w,https://gigacomputers.com.ar/assets/products/prod_1778690911983pu0w.jpg,GIGA Computers,99,99
1778690911983f89h,Cargador Motorola 68w,Importado masivamente,in stock,new,17500.00 ARS,https://gigacomputers.com.ar/index.html?id=1778690911983f89h,https://gigacomputers.com.ar/assets/products/prod_1778690911983f89h.jpg,GIGA Computers,99,99
1778690911984r0o1,Cartucho 60 Gneiss Color,Importado masivamente,in stock,new,37000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778690911984r0o1,https://gigacomputers.com.ar/assets/products/prod_1778690911984r0o1.webp,GIGA Computers,99,99
1778690911984znl2,Control Aire Acondicionado Digital,Importado masivamente,in stock,new,8500.00 ARS,https://gigacomputers.com.ar/index.html?id=1778690911984znl2,https://gigacomputers.com.ar/assets/products/prod_1778690911984znl2.jpg,GIGA Computers,99,99
1778690911984lmg7,Control Remoto Smart TV,Importado masivamente,in stock,new,9500.00 ARS,https://gigacomputers.com.ar/index.html?id=1778690911984lmg7,https://gigacomputers.com.ar/assets/products/prod_1778690911984lmg7.jpg,GIGA Computers,99,99
1778690911984eoxt,Control Remoto TV,Importado masivamente,in stock,new,5500.00 ARS,https://gigacomputers.com.ar/index.html?id=1778690911984eoxt,https://gigacomputers.com.ar/assets/products/prod_1778690911984eoxt.jpg,GIGA Computers,99,99
17786909119845ly5,Crimpeadora,Importado masivamente,in stock,new,19000.00 ARS,https://gigacomputers.com.ar/index.html?id=17786909119845ly5,https://gigacomputers.com.ar/assets/products/prod_17786909119845ly5.jpg,GIGA Computers,99,99
1778690911984ckrf,Chispero,Importado masivamente,in stock,new,4000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778690911984ckrf,https://gigacomputers.com.ar/assets/products/prod_1778690911984ckrf.jpg,GIGA Computers,99,99
1778690911984kxjf,Destornillador Kit Amarillo,Importado masivamente,in stock,new,6000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778690911984kxjf,https://gigacomputers.com.ar/assets/products/prod_1778690911984kxjf.jpg,GIGA Computers,99,99
1778690911984lsil,Fichas RJ45,Importado masivamente,in stock,new,250.00 ARS,https://gigacomputers.com.ar/index.html?id=1778690911984lsil,https://gigacomputers.com.ar/assets/products/prod_1778690911984lsil.jpg,GIGA Computers,99,99
1778690911984m3bn,Hub 4 Ports Tipo C,Importado masivamente,in stock,new,12500.00 ARS,https://gigacomputers.com.ar/index.html?id=1778690911984m3bn,https://gigacomputers.com.ar/assets/products/prod_1778690911984m3bn.jpg,GIGA Computers,99,99
1778690911985hphk,Hub Usb 7 Ports,Importado masivamente,in stock,new,8000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778690911985hphk,https://gigacomputers.com.ar/assets/products/prod_1778690911985hphk.jpg,GIGA Computers,99,99
1778690911985ak9p,Lapiz tactil Chico,Importado masivamente,in stock,new,1500.00 ARS,https://gigacomputers.com.ar/index.html?id=1778690911985ak9p,https://gigacomputers.com.ar/assets/products/prod_1778690911985ak9p.jpg,GIGA Computers,99,99
1778690911985kq6w,Lapiz Tactil Dibujo,Importado masivamente,in stock,new,13000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778690911985kq6w,https://gigacomputers.com.ar/assets/products/prod_1778690911985kq6w.jpg,GIGA Computers,99,99
17786909119853br5,Lector Micro SD,Importado masivamente,in stock,new,3000.00 ARS,https://gigacomputers.com.ar/index.html?id=17786909119853br5,https://gigacomputers.com.ar/assets/products/prod_17786909119853br5.jpg,GIGA Computers,99,99
1778690911985cnib,Lector Multi 4 in 1,Importado masivamente,in stock,new,4000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778690911985cnib,https://gigacomputers.com.ar/assets/products/prod_1778690911985cnib.jpg,GIGA Computers,99,99
1778690911985uvxt,Linterna Led caja verde,Importado masivamente,in stock,new,7000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778690911985uvxt,https://gigacomputers.com.ar/assets/products/prod_1778690911985uvxt.webp,GIGA Computers,99,99
17786909119856oq6,Linterna Led Grande,Importado masivamente,in stock,new,14000.00 ARS,https://gigacomputers.com.ar/index.html?id=17786909119856oq6,https://gigacomputers.com.ar/assets/products/prod_17786909119856oq6.jpg,GIGA Computers,99,99
17786909119860qfw,Linterna Minera Vincha,Importado masivamente,in stock,new,9000.00 ARS,https://gigacomputers.com.ar/index.html?id=17786909119860qfw,https://gigacomputers.com.ar/assets/products/prod_17786909119860qfw.jpg,GIGA Computers,99,99
1778690911986y52x,Luces LEd 3 metros,Importado masivamente,in stock,new,12500.00 ARS,https://gigacomputers.com.ar/index.html?id=1778690911986y52x,https://gigacomputers.com.ar/assets/products/prod_1778690911986y52x.jpg,GIGA Computers,99,99
1778691005785j2l9,Luces LEd 5 metros,Importado masivamente,in stock,new,16500.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691005785j2l9,https://gigacomputers.com.ar/assets/products/prod_1778691005785j2l9.jpg,GIGA Computers,99,99
1778691005785d6tp,Luz Bici Recargable,Importado masivamente,in stock,new,5000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691005785d6tp,https://gigacomputers.com.ar/assets/products/prod_1778691005785d6tp.jpg,GIGA Computers,99,99
17786910057863wgc,Luz de Emergemcia 60 Led,Importado masivamente,in stock,new,29000.00 ARS,https://gigacomputers.com.ar/index.html?id=17786910057863wgc,https://gigacomputers.com.ar/assets/products/prod_17786910057863wgc.jpg,GIGA Computers,99,99
1778691005787zbdq,Luz Led Bici x 2,Importado masivamente,in stock,new,6000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691005787zbdq,https://gigacomputers.com.ar/assets/products/prod_1778691005787zbdq.jpg,GIGA Computers,99,99
1778691005787m12h,Media Pointer Genius 100 Presentador,Importado masivamente,in stock,new,55000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691005787m12h,https://gigacomputers.com.ar/assets/products/prod_1778691005787m12h.jpg,GIGA Computers,99,99
1778691005788et7q,Placa sonido 5.1,Importado masivamente,in stock,new,5000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691005788et7q,https://gigacomputers.com.ar/assets/products/prod_1778691005788et7q.jpg,GIGA Computers,99,99
17786910057889jis,Pilas Recargas x4 Deleex aa,Importado masivamente,in stock,new,25000.00 ARS,https://gigacomputers.com.ar/index.html?id=17786910057889jis,https://gigacomputers.com.ar/assets/products/prod_17786910057889jis.jpg,GIGA Computers,99,99
1778691005788vpg8,Pilas Recargas x4 Deleex aaa,Importado masivamente,in stock,new,20000.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691005788vpg8,https://gigacomputers.com.ar/assets/products/prod_1778691005788vpg8.jpg,GIGA Computers,99,99
1778691005789ejep,Placa Sonido Noga 5.1,Importado masivamente,in stock,new,6500.00 ARS,https://gigacomputers.com.ar/index.html?id=1778691005789ejep,https://gigacomputers.com.ar/assets/products/prod_1778691005789ejep.jpg,GIGA Computers,99,99
